short_prompt,expanded_prompt
"Describe a forest.","Describe a lush forest in detail, including the types of trees, undergrowth, wildlife, sounds, and smells you might encounter. Consider the time of day and season, and how these factors affect the forest atmosphere."
"What is artificial intelligence?","Explain artificial intelligence in detail, including its definition, various types (narrow AI, general AI, and superintelligence), key applications in today's world, and potential future implications for society and technology."
"How does a smartphone work?","Describe how a smartphone works in detail, including its main components (processor, memory, sensors), operating system functions, touchscreen technology, and how it connects to cellular and Wi-Fi networks."
"Tell me about the Renaissance.","Explain the Renaissance period in detail, including its origins in Italy, key figures in art and science, major cultural and intellectual developments, and its lasting impact on Western civilization."
"What are the basics of cooking?","Describe the basics of cooking in detail, including essential kitchen tools, fundamental techniques (chopping, sautéing, roasting), understanding flavors and seasoning, and tips for meal planning and preparation."
"Describe a bustling city.","Describe a bustling city in detail, including its skyline, street life, various neighborhoods, public transportation, cultural attractions, and the diverse mix of people you might encounter throughout the day and night."
"How does the human heart work?","Explain how the human heart works in detail, including its structure, the four chambers, the cardiac cycle, how it pumps blood throughout the body, and its role in the overall circulatory system."
"What is the theory of evolution?","Describe the theory of evolution in detail, including natural selection, genetic variation, adaptation, and evidence supporting the theory from fossil records, comparative anatomy, and molecular biology."
"Tell me about ancient Egypt.","Explain ancient Egyptian civilization in detail, including its geography, major historical periods, pharaohs, religious beliefs, architectural achievements (pyramids and temples), and cultural practices like mummification."
"How do airplanes fly?","Describe how airplanes fly in detail, including the principles of lift, thrust, drag, and weight, as well as the roles of wings, engines, and control surfaces in achieving and maintaining flight."
"What is the process of writing a novel?","Explain the process of writing a novel in detail, including brainstorming ideas, creating outlines, developing characters and plot, writing drafts, editing and revising, and seeking feedback from beta readers or editors."
"Describe a thunderstorm.","Describe a thunderstorm in detail, including the formation of storm clouds, the sights and sounds of lightning and thunder, rain intensity, wind patterns, and the overall atmosphere before, during, and after the storm."
"What is the immune system?","Explain the immune system in detail, including innate and adaptive immunity, key components like white blood cells and antibodies, how it recognizes and fights pathogens, and the role of vaccines in boosting immunity."
"How does a democracy work?","Describe how a democracy works in detail, including different types (direct and representative), key principles (free elections, rule of law, separation of powers), the role of citizens, and challenges faced by modern democracies."
"Tell me about the solar system.","Explain the solar system in detail, including the sun, planets, dwarf planets, moons, asteroids, and comets. Describe the characteristics of each planet, their orbits, and interesting features or phenomena within our cosmic neighborhood."
"What is machine learning?","Describe machine learning in detail, including its definition, main types (supervised, unsupervised, and reinforcement learning), common algorithms, applications in various industries, and its relationship to artificial intelligence and data science."
"How does a refrigerator work?","Explain how a refrigerator works in detail, including the refrigeration cycle, key components (compressor, condenser, evaporator), the role of refrigerants, and how it maintains a cold temperature to preserve food."
"Describe a coral reef ecosystem.","Describe a coral reef ecosystem in detail, including the formation of coral reefs, the diverse marine life they support, symbiotic relationships between organisms, threats to coral reefs, and their importance to ocean health and biodiversity."
"What is the process of making a movie?","Explain the process of making a movie in detail, including pre-production (scriptwriting, casting, location scouting), production (filming, directing), and post-production (editing, visual effects, sound design, marketing)."
"How does the stock market work?","Describe how the stock market works in detail, including the basics of stocks and shares, how companies go public, the role of stock exchanges, factors influencing stock prices, and different investment strategies."
"Tell me about the Industrial Revolution.","Explain the Industrial Revolution in detail, including its origins in 18th-century Britain, key technological innovations, social and economic changes, impact on urbanization and working conditions, and its global spread."
"What is climate change?","Describe climate change in detail, including its causes (natural and anthropogenic), observed and projected impacts on the environment and society, methods for measuring climate change, and potential mitigation and adaptation strategies."
"How does a nuclear power plant work?","Explain how a nuclear power plant works in detail, including nuclear fission, reactor design, cooling systems, safety measures, the process of generating electricity, and the handling of nuclear waste."
"Describe the process of photosynthesis.","Describe the process of photosynthesis in detail, including the light-dependent and light-independent reactions, the role of chlorophyll and other pigments, the conversion of solar energy into chemical energy, and its importance for life on Earth."
"What is the Big Bang theory?","Explain the Big Bang theory in detail, including its basic premise, supporting evidence (cosmic microwave background radiation, expansion of the universe), the timeline of the early universe, and how it relates to our current understanding of cosmology."
"How does a computer work?","Describe how a computer works in detail, including hardware components (CPU, RAM, storage), the role of the operating system, how software applications run, and the basic principles of binary code and data processing."
"Tell me about the human brain.","Explain the human brain in detail, including its major regions and their functions, neurons and synapses, neurotransmitters, brain plasticity, and current research in neuroscience and cognitive psychology."
"What is blockchain technology?","Describe blockchain technology in detail, including its definition, how it works (distributed ledger, consensus mechanisms), key features (transparency, immutability), applications beyond cryptocurrencies, and potential future impacts."
"How does a wind turbine generate electricity?","Explain how a wind turbine generates electricity in detail, including the components (blades, rotor, generator), the conversion of wind energy to mechanical and then electrical energy, and factors affecting wind turbine efficiency."
"Describe the water cycle.","Describe the water cycle in detail, including the processes of evaporation, condensation, precipitation, infiltration, and runoff. Explain how water moves through the atmosphere, land, and oceans, and its importance for Earth's climate and ecosystems."
"What is quantum computing?","Explain quantum computing in detail, including the principles of quantum mechanics it relies on (superposition, entanglement), how quantum bits (qubits) differ from classical bits, potential applications, and current challenges in the field."
"How does the human digestive system work?","Describe how the human digestive system works in detail, including the organs involved (mouth, esophagus, stomach, intestines), the process of breaking down food, nutrient absorption, and the role of enzymes and beneficial bacteria."
"Tell me about the Renaissance art movement.","Explain the Renaissance art movement in detail, including its origins in Italy, key artists and their works, new techniques (perspective, sfumato), themes and subjects, patronage system, and its influence on subsequent art movements."
"What is genetic engineering?","Describe genetic engineering in detail, including its definition, basic techniques (gene splicing, CRISPR), applications in medicine and agriculture, ethical considerations, and potential future developments in the field."
"How does a 3D printer work?","Explain how a 3D printer works in detail, including different printing technologies (FDM, SLA, SLS), the process of creating 3D models, slicing software, materials used, and applications in various industries."
"Describe the process of recycling.","Describe the process of recycling in detail, including collection methods, sorting techniques, processing of different materials (paper, plastic, glass, metal), challenges in recycling complex products, and the environmental benefits of recycling."
"What is artificial neural network?","Explain artificial neural networks in detail, including their inspiration from biological neurons, basic structure (input layer, hidden layers, output layer), training processes (backpropagation), and applications in deep learning and AI."
"How does a vaccine work?","Describe how a vaccine works in detail, including the principle of immunization, types of vaccines (live attenuated, inactivated, subunit, mRNA), the role of adjuvants, herd immunity, and the process of vaccine development and testing."
"Tell me about the French Revolution.","Explain the French Revolution in detail, including its causes (social inequality, financial crisis), key events (Storming of the Bastille, Reign of Terror), important figures (Robespierre, Napoleon), and its impact on modern political ideologies."
"What is virtual reality?","Describe virtual reality in detail, including the technology behind VR headsets, how immersive environments are created, applications in gaming, education, and training, and potential future developments in the field."
"How does a microwave oven work?","Explain how a microwave oven works in detail, including the generation of microwaves, how they interact with water molecules in food, the role of the magnetron, safety features, and why some materials can't be used in microwaves."
"Describe the process of mitosis.","Describe the process of mitosis in detail, including the stages (prophase, metaphase, anaphase, telophase), the role of chromosomes and centromeres, cell division, and its importance in growth, repair, and asexual reproduction."
"What is the Doppler effect?","Explain the Doppler effect in detail, including its definition, examples in sound and light, mathematical description, applications in various fields (astronomy, medical imaging, radar), and how it relates to the expanding universe theory."
